case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,81.795511,False,163,0.00047860451014,0.000484293896608,0.957055214724,0,0.010987795715,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,82.044888,False,182,0.000762219965547,0.000764270308846,1,0,0.00256131502267,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,82.294264,False,336,0.000470419794148,0.000434457880488,0.997023809524,0,0.00360398618425,0.999996836504,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,82.543641,False,494,0.000641622551891,0.000725389775923,0.985829959514,0,0.00540054976002,0.999999601836,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,82.793017,False,163,0.00043147008961,0.000437470146415,0.907975460123,0,0.0102069549105,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,83.790524,False,362,0.000762819407686,0.000760471576752,1,0,0.00551671582765,0.999998988144,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,84.0399,False,163,0.000384406329562,0.000390717894785,1,0,0.00901176659396,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,84.289277,False,350,0.000715643246191,0.000721221349022,1,0,0.00374166808222,0.999979848232,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,84.538653,False,275,0.000162219283094,0.000129093555432,0.949090909091,0,0.00375120527511,0.999927872825,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,85.785536,False,374,0.000701613985405,0.000712487857354,1,0,0.00521202795246,0.99999908245,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,86.034913,False,151,0.000345763924616,0.000347384530659,0.986754966887,0,0.00837791654527,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,93.516209,True,350,0.00067406196014,0.000679519250199,0.951428571429,0,0.00466342789197,0.999963055092,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,93.765586,True,275,0.000144620473755,0.000135629237235,0.989090909091,0,0.00375466436061,0.999921525634,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,99.501247,True,5236,0.000227451174397,0.000193159179459,0.984148204736,0.0135599694423,0.00591819735137,0.999834103603,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,99.750623,True,6228,0.000461399804319,0.00046021321915,0.983301220295,0.000963391136802,0.00374324996162,0.999914502501,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,100,True,1661,0.000145515067129,0.00013035130547,0.985550872968,0.00120409391933,0.0037750706743,0.999418503971,False
baseline__matched_linear,baseline,matched_linear,73.815461,False,20,2.64566146768e-14,2.35367281221e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,74.064838,False,54,4.5852210917e-14,3.97459842816e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,74.314214,False,83,5.35288012042e-14,5.15143483426e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,74.563591,False,108,5.93270288863e-14,5.08482145278e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,74.812968,False,132,6.49665506576e-14,5.97299987248e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,75.062344,False,152,7.20425181499e-14,6.48370246381e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,75.311721,False,155,7.47108468281e-14,6.28386231938e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,75.561097,False,438,3.48142620769e-13,3.75033337718e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,75.810474,False,439,2.65135926375e-13,2.25597318604e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,76.05985,False,555,3.11404155715e-13,3.04423153352e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,76.309227,False,391,2.39998132195e-13,1.80744308409e-13,1,0,0,1,False
