hip_delta,knee_delta,phase_delta,trajectory_id,trajectory_sha256,trajectory_admissible,trajectory_feasible,domain_coverage,max_joint_deviation_deg,hip_max_deviation_deg,knee_max_deviation_deg,max_pull_deviation_mm,invalid_reason,alpha_bounds_valid,global_rom_valid,workspace_valid,jacobian_valid,force_mapping_valid,domain_valid,velocity_valid,acceleration_valid,closure_valid,continuity_valid,asymmetry_valid,finite_valid,pointwise_clipping_applied,parent_reference_sha256
-5,-5,0.0275,asym_h-5.000_k-5.000_p+0.02750,e8d8cd2121bd709c94e08d1637b9f912af74916dc83dd9f5bd97141eb14d54d1,True,True,100,7.2923480982562534,5.0000000000000329,7.2923480982562534,36.640285386882439,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.029999999999999999,asym_h-5.000_k-5.000_p+0.03000,41c064b633365142a1cc1171146edf2ee1d8fc81c809be67c6a9ffe463c988b3,True,True,100,7.6979437534853634,5.0000000000000329,7.6979437534853634,36.640285386882439,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.029999999999999999,asym_h-5.000_k-4.750_p-0.03000,59b745fe82cf893f8632310b7339ae1c9f9ffd76c79f82a507697ebac4bc4ecf,True,True,100,5.0000000000000329,5.0000000000000329,4.8447728018721392,36.007095259185355,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.0275,asym_h-5.000_k-4.750_p-0.02750,c92eaa44f38492049d81c0572b93205b7f9149099a2f216728d062703253e2b2,True,True,100,5.0000000000000329,5.0000000000000329,4.8238012931997742,36.001730839749733,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.025000000000000001,asym_h-5.000_k-4.750_p-0.02500,5a04a0ce62c4be8cb7039797624753742d172332d902131d93098ba57b186503,True,True,100,5.0000000000000329,5.0000000000000329,4.803087997348082,35.997954750104846,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.022499999999999999,asym_h-5.000_k-4.750_p-0.02250,eeee220f162b85a10a78e6e36c9d2db8dc92d057274df3aad63f1955f7abf825,True,True,100,5.0000000000000329,5.0000000000000329,4.7855968042595194,35.994554120479933,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.02,asym_h-5.000_k-4.750_p-0.02000,93571cdd37bf326de482f438379689fa872a9868c03ecbcb0a74df474a7cb96a,True,True,100,5.0000000000000329,5.0000000000000329,4.7710726848749569,35.991443807366743,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.017500000000000002,asym_h-5.000_k-4.750_p-0.01750,4862c69c96d7dccf171239f5621afb1e328f0c8942d2ece3354babe26c7516ca,True,True,100,5.0000000000000329,5.0000000000000329,4.7585027986155151,35.988617135450738,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.014999999999999999,asym_h-5.000_k-4.750_p-0.01500,d075a7cc7e88c8f22e4dc14c6acfb3ba172de07e9cdb9454d810c795efb10e55,True,True,100,5.0000000000000329,5.0000000000000329,4.7522907843731863,35.986086242603108,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.012500000000000001,asym_h-5.000_k-4.750_p-0.01250,64a94130fe3f0879dafa49693a4076142e1b34d2f860f1ae667933f3c546651d,True,True,100,5.0000000000000329,5.0000000000000329,4.7500833292316393,35.983898842467006,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
