subject_id,rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid,mass_thigh_kg,mass_shank_kg,com_thigh_m,com_shank_m,k_hip_nm_per_rad,k_knee_nm_per_rad,q0_hip_rad,q0_knee_rad,gravity_m_s2,tau_gravity_hip_nm,tau_gravity_knee_nm,tau_stiffness_hip_nm,tau_stiffness_knee_nm,tau_total_hip_nm,tau_total_knee_nm,fx_robot_on_leg_n,fz_robot_on_leg_n,force_magnitude_n,force_mapping_valid,invalid_reason
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.0872664625997164,0.0523598775598298,8.0,5.0,0.4159125888714595,0.0584527024032274,0.7155014492978317,0.0741534892761106,True,False,0.010981623586204907,55.296237658830854,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83051314880625,-6.269795671003116,-0.5235987755982996,-1.0471975511965985,34.306914373207945,-7.316993222199715,-459.1898535989476,0.35832839879108036,459.18999340955185,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.1047197551196597,0.0349065850398865,8.0,6.0,0.4159125888714595,0.0584527024032274,0.7157298369771883,0.0689225514139777,True,False,0.013170586371724325,46.067320149678224,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83529284615982,-6.274575368356691,-0.5235987755982996,-0.837758040957279,34.311694070561515,-7.112333409313971,-394.57077428704764,9.943513914924687,394.6960468391552,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.122173047639603,0.0174532925199432,8.0,7.0,0.4159125888714595,0.0584527024032274,0.7158668974183768,0.0636884243344125,True,False,0.015355537269048576,39.47322768003224,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83816124707302,-6.277443769269888,-0.5235987755982996,-0.6283185307179593,34.314562471474716,-6.905762299987847,-348.3560446955001,16.94213675920531,348.767787895988,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.1396263401595463,0.0,8.0,8.0,0.4159125888714595,0.0584527024032274,0.7159125888714595,0.0584527024032274,True,False,0.01753581072096824,34.52590016428347,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83911747780313,-6.2784,-0.5235987755982996,-0.4188790204786397,34.31551870220483,-6.69727902047864,-313.6432832352326,22.32426340159548,314.4367692478094,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.1570796326794896,-0.0174532925199432,8.0,9.0,0.4159125888714595,0.0584527024032274,0.7158668974183768,0.0532169804720424,True,False,0.019710742595069084,30.67641523713569,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83816124707302,-6.277443769269888,-0.5235987755982996,-0.20943951023932017,34.314562471474716,-6.4868832795092075,-286.5978196791524,26.628821596619304,287.8322504245633,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.1745329251994329,-0.0349065850398865,8.0,10.0,0.4159125888714595,0.0584527024032274,0.7157298369771883,0.0479828533924771,True,False,0.021879670386033213,27.595419393311108,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83529284615982,-6.274575368356691,-0.5235987755982996,-6.661338147750939e-16,34.311694070561515,-6.274575368356692,-264.9188395583169,30.179169730237284,266.63228206376607,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.1919862177193762,-0.0523598775598298,8.0,11.0,0.4159125888714595,0.0584527024032274,0.7155014492978317,0.0427519155303443,True,False,0.024041933417444643,25.073323960125194,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.83051314880625,-6.269795671003116,-0.5235987755982996,0.20943951023931917,34.306914373207945,-6.0603561607637975,-247.1421770603378,33.18108288786513,249.3596598163679,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.2094395102393195,-0.0698131700797732,8.0,12.0,0.4159125888714595,0.0584527024032274,0.7151818039494068,0.0375257602799898,True,False,0.026196873043037673,22.970403083758427,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.823823610954406,-6.263106133151281,-0.5235987755982996,0.4188790204786387,34.300224835356104,-5.844227112672642,-232.29171147050974,35.7717458895179,235.02990665420174,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.2268928027592628,-0.0872664625997164,8.0,13.0,0.4159125888714595,0.0584527024032274,0.7147709982989832,0.03230597957893,True,False,0.028343832847326986,21.189923414157573,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.81522627030235,-6.254508792499216,-0.5235987755982996,0.6283185307179582,34.291627494704045,-5.626190261781257,-219.691657555842,38.046134155919646,222.9617292807077,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.1396263401595463,0.2443460952792061,-0.1047197551196597,8.0,14.0,0.4159125888714595,0.0584527024032274,0.7142691574819415,0.0270941634229314,True,False,0.030482158845558126,19.66278963925169,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.8047237456833,-6.2440062678801675,-0.5235987755982996,0.8377580409572777,34.281124970084996,-5.40624822692289,-208.8593029206312,40.07208849008366,212.66871112706983,True,
