hip_target_deg,direction,time_s,desired_knee_deg,actual_knee_deg,source_equality_max_abs_residual,source_equality_max_abs_force,auxiliary_joint_positions_json,finite,warning_count
110.0,DESCENDING_125_TO_100,10.82,124.8785564562352,124.26815444841878,0.0006797770680483815,479.61250663480143,"[0.006901079633076345,0.0015986086509939513,-0.0005564348264374793,0.2609079335384506,-0.015355711722448175,-0.023743412739183498,-1.880200523487625]",True,0
110.0,DESCENDING_125_TO_100,10.84,124.8698668580864,124.26072107926106,0.0006795969772764353,479.4734686724451,"[0.006901020583507369,0.0015985009140565426,-0.0005593897570304818,0.26090929969348114,-0.015360377446726565,-0.023742125684891275,-1.8800425071370113]",True,0
110.0,DESCENDING_125_TO_100,10.86,124.8607931654736,124.2529586647301,0.000679408527661211,479.3283367920581,"[0.0069009588637693985,0.0015983884152163748,-0.0005624715922422817,0.26091072612075694,-0.015365250213601358,-0.023740780779246566,-1.8798775157047256]",True,0
110.0,DESCENDING_125_TO_100,10.88,124.8513289781248,124.24486167537516,0.0006792115812323651,479.1770156729073,"[0.006900894423781311,0.0015982711322566473,-0.0005656820167346918,0.2609122138089903,-0.015370333514778048,-0.023739376936464895,-1.8797054342736976]",True,0
110.0,DESCENDING_125_TO_100,10.9,124.841468015,124.23642467977658,0.0006790060016649956,479.0194116257236,"[0.006900827213809432,0.0015981490175547004,-0.0005690226428014726,0.26091376372699837,-0.015375630782255088,-0.023737913078973844,-1.8795261501805518]",True,0
110.0,DESCENDING_125_TO_100,10.92,124.8312041137152,124.22764234450842,0.0006787916544966468,478.85543296174643,"[0.006900757184441846,0.001598022012517667,-0.0005724950094581412,0.2609153768236385,-0.01538114538812836,-0.023736388137156325,-1.879339553020454]",True,0
110.0,DESCENDING_125_TO_100,10.94,124.8205312299664,124.2185094336277,0.000678568407564209,478.6849901500147,"[0.006900684286587163,0.0015978900545105283,-0.0005761005817424273,0.26091705402783555,-0.015386880644483734,-0.02373480104900382,-1.879145534641077]",True,0
110.0,DESCENDING_125_TO_100,10.96,124.8094434369536,124.20902080806142,0.0006783361313692235,478.5079958803426,"[0.0069006084714779495,0.001597753080044716,-0.0005798407500772747,0.2609187962486288,-0.015392839803428458,-0.023733150759757363,-1.8789439891339277]",True,0
110.0,DESCENDING_125_TO_100,10.98,124.7979349248048,124.19917142498446,0.0006780946993193938,478.3243650868257,"[0.006900529690669114,0.0015976110262132933,-0.0005837168296543347,0.2609206043752192,-0.01539902605724994,-0.023731436221554724,-1.8787348128253631]",True,0
110.0,DESCENDING_125_TO_100,11.0,124.786,124.18895633720895,0.0006778439878693992,478.1340149563068,"[0.006900447896030889,0.0015974638313284823,-0.0005877300598306927,0.2609224792770144,-0.015405442538665914,-0.02372965639308642,-1.8785179042677684]",True,0
110.0,DESCENDING_125_TO_100,11.02,124.7736330847952,124.17837069258776,0.0006775838765959042,477.936864930504,"[0.006900363039738314,0.0015973114352026598,-0.0005918816035392335,0.26092442180367115,-0.015412092321127974,-0.023727810239260728,-1.878293164230963]",True,0
