model,step,beta_radius,endpoint,count,reference,minimum,improvement_pct,landscape_range_pct,beta_flex,beta_extend,share_shift,flexion_share,beta_boundary,share_boundary,near_minimum_0p1pct,best_hip_speed_ratio,best_knee_speed_ratio,best_hip_accel_ratio,best_knee_accel_ratio
LEG_2_KNEE_DOMINANT,step2,0.12,E0,405,175.78628336733587,168.45828903574625,4.168695185548982,8.940196616824895,-0.12,0.12,-0.1,0.4666666666666667,True,True,2,0.8124999999999999,1.027504103123615,1.043352189341075,1.8436151804466892
LEG_2_KNEE_DOMINANT,step2,0.12,E2,405,1.0,0.9997407148863044,0.025928511369555096,6.516606423776827,0.0,0.0,0.1,0.6666666666666666,False,True,4,1.2999999999999998,1.2999999999999998,1.6900000000000002,1.69
LEG_3_NONLINEAR_COUPLED,step1,0.03,E0,25,319.6692313462276,317.3969848166098,0.7108117725464721,1.4610968256553882,-0.03,0.03,0.0,0.5666666666666667,True,False,1,1.0,1.0287391451148535,1.0,1.1849068453427913
LEG_3_NONLINEAR_COUPLED,step1,0.03,E2,25,1.0,1.0,0.0,1.3556242469001,0.0,0.0,0.0,0.5666666666666667,False,False,9,1.0,1.0,1.0,1.0
LEG_3_NONLINEAR_COUPLED,step1,0.06,E0,81,319.6692313462276,315.2459064534898,1.3837193132757253,2.9265768735518405,-0.06,0.06,0.0,0.5666666666666667,True,False,1,1.0,1.0898210204986556,1.0,1.3204489597443108
LEG_3_NONLINEAR_COUPLED,step1,0.06,E2,81,1.0,1.0,0.0,2.865137983562982,0.0,0.0,0.0,0.5666666666666667,False,False,12,1.0,1.0,1.0,1.0
LEG_3_NONLINEAR_COUPLED,step1,0.09,E0,169,319.6692313462276,313.2159941828093,2.0187232710016176,4.399684368044766,-0.09,0.09,0.0,0.5666666666666667,True,False,1,1.0,1.174656805623687,1.0,1.5946824259451806
LEG_3_NONLINEAR_COUPLED,step1,0.09,E2,169,1.0,1.0,0.0,4.527237301414089,0.0,0.0,0.0,0.5666666666666667,False,False,12,1.0,1.0,1.0,1.0
LEG_3_NONLINEAR_COUPLED,step1,0.12,E0,289,319.6692313462276,311.31159564500587,2.614463602275736,5.881701484845682,-0.12,0.12,0.0,0.5666666666666667,True,False,1,1.0,1.2646204346136953,1.0,1.7957569982835502
LEG_3_NONLINEAR_COUPLED,step1,0.12,E2,289,1.0,1.0,0.0,6.331607020494179,0.0,0.0,0.0,0.5666666666666667,False,False,12,1.0,1.0,1.0,1.0
LEG_3_NONLINEAR_COUPLED,step2,0.12,E0,405,319.6692313462276,310.2630469533694,2.9424741171509763,6.353422210408193,-0.12,0.12,-0.1,0.4666666666666667,True,True,1,0.8125000000000001,1.0275041031236276,1.043352189341075,1.8436151804483196
