model,beta_flex,beta_extend,share_shift,step1,step2,valid,invalid_reason,flexion_share,flexion_duration_s,extension_duration_s,min_warp_derivative,ROM_excess_rad,hip_speed_peak_deg_s,knee_speed_peak_deg_s,hip_accel_peak_deg_s2,knee_accel_peak_deg_s2,knee_angle_change_peak_deg,E0,E2,hip_torque_peak_Nm,knee_torque_peak_Nm,decomposition_residual_Nm,warning_count,hip_flex_RMS_Nm,hip_extend_RMS_Nm,knee_flex_RMS_Nm,knee_extend_RMS_Nm,hip_flex_relative,hip_extend_relative,knee_flex_relative,knee_extend_relative
LEG_0_NOMINAL,-0.12,-0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,0.0,22.187512350414032,28.354220894992107,14.101230445371915,21.814422729331962,12.431064829097311,32.13579328869833,1.0078408966976482,36.72099442375398,16.720634860621796,,,29.539523023819715,30.83144877167233,11.387624473379253,11.112431751153968,1.0006308434276783,0.9995621652264897,0.9608600833127415,1.0078408966976482
LEG_0_NOMINAL,-0.12,0.0,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,5.551115123125783e-17,18.0273537847114,22.944982668552527,14.712549657581809,32.16514371824968,12.431064829097311,32.2905666431726,1.0023854898627704,36.83034911315944,16.719879080805377,,,29.59132176569191,30.891971477077817,11.411605264160018,11.051059378656138,1.0023854898627704,1.0015243242839016,0.9628835241700843,1.0022747354544757
LEG_0_NOMINAL,-0.12,0.0,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633715,5.551115123125783e-17,19.892252452095338,25.31860156529934,12.002746026580793,26.240866467333774,12.431064829097311,32.20953808900365,1.0014201250878214,36.76689082082167,16.720209925478535,,,29.562823328747562,30.87079467238563,11.398414474679408,11.039765412121785,1.0014201250878214,1.000837767745237,0.9617705174048077,1.0012504302786014
LEG_0_NOMINAL,-0.12,0.0,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,5.551115123125783e-17,22.187512350414032,28.239978668987725,14.101230445371915,21.814422729331962,12.431064829097311,32.12856443580737,1.0006308434276783,36.72099442375398,16.720688958152945,,,29.539523023819715,30.84502003247766,11.387624473379253,11.025954325673075,1.0006308434276783,1.0000021484052202,0.9608600833127415,0.9999978351614803
LEG_0_NOMINAL,-0.12,0.0,0.05,False,True,True,,0.6166666666666667,14.8,9.2,0.5878479508633715,5.551115123125783e-17,25.081535700468038,31.923454147551343,18.019719812989447,22.740182673869775,12.431064829097311,32.047675846747055,0.9999734934710722,36.684936145941656,16.72140594309362,,,29.520117461513284,30.81298453626559,11.37863475402594,11.00868129789299,0.9999734934710722,0.9989635507643833,0.9601015526370089,0.9984312596183048
LEG_0_NOMINAL,-0.12,0.0,0.1,False,True,True,,0.6666666666666666,16.0,8.0,0.5878479508633715,5.551115123125783e-17,28.84376605553824,36.71197226968404,23.831079452678534,30.073891586192765,12.431064829097311,31.966949720755945,0.9994175487358747,36.65535397402115,16.722526429707152,,,29.503705472603283,30.772129763376643,11.371029613016136,10.986462891378434,0.9994175487358747,0.9976390302868949,0.9594598493176407,0.996416163440774
LEG_0_NOMINAL,-0.12,0.015,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,2.029769827771588e-07,22.187512350414032,28.566208357456784,14.101230445371915,21.814422729331962,12.431064829097311,32.121372964257624,1.0006308434276783,36.72099442375398,16.72777414868373,,,29.539523023819715,30.85719245136854,11.387624473379253,10.94298736834394,1.0006308434276783,1.0003967808298175,0.9608600833127415,0.9924731551865336
LEG_0_NOMINAL,-0.12,0.03,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,4.0215965269041476e-07,18.0273537847114,23.620825488649025,14.712549657581809,32.16514371824968,12.431064829097311,32.27294500176456,1.0023854898627704,36.83034911315944,16.72788361181494,,,29.59132176569191,30.914896107476938,11.411605264160018,10.888759268111238,1.0023854898627704,1.0022675457059134,0.9628835241700843,0.987554943008622
LEG_0_NOMINAL,-0.12,0.03,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633715,4.0215965269041476e-07,19.892252452095338,26.064359159888575,12.002746026580793,26.240866467333774,12.431064829097311,32.193530074457016,1.001580960799795,36.76689082082167,16.727865859139733,,,29.562823328747562,30.89371842779196,11.398414474679408,10.877352410222086,1.0014201250878214,1.001580960799795,0.9617705174048077,0.9865203991625091
LEG_0_NOMINAL,-0.12,0.03,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,4.0215965269041476e-07,22.187512350414032,29.071785216798798,14.101230445371915,21.814422729331962,12.431064829097311,32.11417853675622,1.0007454122563846,36.72099442375398,16.727495298800434,,,29.539523023819715,30.867945971602033,11.387624473379253,10.863396269646014,1.0006308434276783,1.0007454122563846,0.9608600833127415,0.9852546483756783
LEG_0_NOMINAL,-0.12,0.03,0.05,False,True,True,,0.6166666666666667,14.8,9.2,0.5878479508633715,4.0215965269041476e-07,25.081535700468038,32.863757201598645,18.019719812989447,26.417423174603663,12.431064829097311,32.03492079816496,0.9999734934710722,36.684936145941656,16.72647962543713,,,29.520117461513284,30.835918482235662,11.37863475402594,10.845930546906194,0.9999734934710722,0.9997070741991981,0.9601015526370089,0.9836705963822211
LEG_0_NOMINAL,-0.12,0.03,0.1,False,True,True,,0.6666666666666666,16.0,8.0,0.5878479508633715,4.0215965269041476e-07,28.84376605553824,37.79332078183843,23.831079452678534,34.93704214841333,12.431064829097311,31.955834642112023,0.9994175487358747,36.65535397402115,16.724244717844876,,,29.503705472603283,30.795083141004223,11.371029613016136,10.823444917998732,0.9994175487358747,0.9983831837002034,0.9594598493176407,0.9816312644962408
LEG_0_NOMINAL,-0.12,0.045,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,5.975619563614032e-07,22.187512350414032,29.915631020428616,14.101230445371915,21.814422729331962,12.431064829097311,32.10697411336109,1.0010460061083868,36.72099442375398,16.727211972961236,,,29.539523023819715,30.87721777506909,11.387624473379253,10.78739122201715,1.0006308434276783,1.0010460061083868,0.9608600833127415,0.9783613781112408
LEG_0_NOMINAL,-0.12,0.06,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,7.891978381913134e-07,18.0273537847114,25.02332322173453,14.712549657581809,32.16514371824968,12.431064829097311,32.2552948054864,1.0028220035774846,36.83034911315944,16.72751325351249,,,29.59132176569191,30.931998334890206,11.411605264160018,10.740629515051166,1.0023854898627704,1.0028220035774846,0.9628835241700843,0.9741203297309152
LEG_0_NOMINAL,-0.12,0.06,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633715,7.891978381913134e-07,19.892252452095338,27.611942865362238,12.002746026580793,26.240866467333774,12.431064829097311,32.17749158178566,1.0021351565345111,36.76689082082167,16.72740557512212,,,29.562823328747562,30.91081256960605,11.398414474679408,10.72909767540307,1.0014201250878214,1.0021351565345111,0.9617705174048077,0.9730744506765575
LEG_0_NOMINAL,-0.12,0.06,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,7.891978381913134e-07,22.187512350414032,30.797936272904032,14.101230445371915,23.03757910724455,12.431064829097311,32.09975970818627,1.0012993416536005,36.72099442375398,16.726924202728966,,,29.539523023819715,30.885031898248243,11.387624473379253,10.714983244913673,1.0006308434276783,1.0012993416536005,0.9608600833127415,0.9717943438017205
LEG_0_NOMINAL,-0.12,0.06,0.05,False,True,True,,0.6166666666666667,14.8,9.2,0.5878479508633715,7.891978381913134e-07,25.081535700468038,34.81505839545674,18.019719812989447,29.43932604252802,12.431064829097311,32.02212969387759,1.0002607599314,36.684936145941656,16.72576859867303,,,29.520117461513284,30.85299689304578,11.37863475402594,10.69731077546371,0.9999734934710722,1.0002607599314,0.9601015526370089,0.9701915409358703
LEG_0_NOMINAL,-0.12,0.06,0.1,False,True,True,,0.6666666666666666,16.0,8.0,0.5878479508633715,7.891978381913134e-07,28.84376605553824,40.037317154775245,23.831079452678534,38.93350869124329,12.431064829097311,31.94467947641066,0.9994175487358747,36.65535397402115,16.72335142909364,,,29.503705472603283,30.8121567506073,11.371029613016136,10.674544178444911,0.9994175487358747,0.9989367137762459,0.9594598493176407,0.9681267266748697
