subject_id,direction,reference_candidate_id,neighbor_candidate_id,signed_beta_step,reference_j,neighbor_j,delta_j_neighbor_minus_reference,finite_difference_dj_dbeta,delta_sign,neighbor_is_descent
MYOLEG_VP_014,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0000000000000002,0.9998134212569995,-0.00018657874300076482,-0.07463149720030593,-1,True
MYOLEG_VP_014,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,1.0000000000000002,0.9997560322987168,-0.00024396770128343181,0.09758708051337273,-1,True
MYOLEG_VP_014,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,1.0000000000000002,1.0002636041612132,0.00026360416121296026,0.1054416644851841,1,False
MYOLEG_VP_015,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0,1.0002187423604092,0.00021874236040919648,-0.08749694416367859,1,False
MYOLEG_VP_015,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0,0.9998016101480193,-0.00019838985198072923,-0.07935594079229169,-1,True
MYOLEG_VP_015,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,1.0,0.9997437398745739,-0.0002562601254261221,0.10250405017044883,-1,True
MYOLEG_VP_015,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,1.0,1.000275361924281,0.0002753619242810146,0.11014476971240583,1,False
MYOLEG_VP_017,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,0.9999999999999998,1.0002133581399784,0.0002133581399785811,-0.08534325599143244,1,False
MYOLEG_VP_017,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,0.9999999999999998,0.9998073372992019,-0.0001926627007978743,-0.07706508031914971,-1,True
MYOLEG_VP_017,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,0.9999999999999998,0.9997500784720444,-0.0002499215279553324,0.09996861118213296,-1,True
MYOLEG_VP_017,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,0.9999999999999998,1.0002693470189958,0.00026934701899605784,0.10773880759842314,1,False
