subject_i,subject_j,spearman_rank_correlation,kendall_tau_b
MYOLEG_VP_009,MYOLEG_VP_014,0.9999512410911773,0.995046153846154
MYOLEG_VP_009,MYOLEG_VP_015,0.999989383140821,0.9983384615384617
MYOLEG_VP_009,MYOLEG_VP_017,0.9999802899975426,0.9972923076923078
MYOLEG_VP_009,MYOLEG_VP_018,0.9999721798967806,0.9965743589743592
MYOLEG_VP_009,MYOLEG_VP_019,0.9999437699680512,0.9946256410256411
MYOLEG_VP_009,MYOLEG_VP_021,0.9997987220447284,0.9890153846153847
MYOLEG_VP_009,MYOLEG_VP_022,0.9999923322683707,0.9987589743589744
MYOLEG_VP_009,MYOLEG_VP_023,0.9999935119193907,0.9989538461538462
MYOLEG_VP_009,MYOLEG_VP_025,0.9999627426886214,0.9958666666666668
MYOLEG_VP_009,MYOLEG_VP_026,0.9999381666257067,0.9943076923076924
MYOLEG_VP_009,MYOLEG_VP_027,0.9998048169083313,0.9891692307692309
MYOLEG_VP_009,MYOLEG_VP_029,0.9999338903907594,0.9941128205128207
MYOLEG_VP_009,MYOLEG_VP_030,0.9999771442614894,0.997046153846154
MYOLEG_VP_009,MYOLEG_VP_031,0.9999588596706809,0.9955794871794873
MYOLEG_VP_010,MYOLEG_VP_011,0.9999970508724504,0.9994666666666668
MYOLEG_VP_010,MYOLEG_VP_013,0.9999975423937086,0.9995589743589745
MYOLEG_VP_010,MYOLEG_VP_014,0.9999784713688867,0.9972820512820514
MYOLEG_VP_010,MYOLEG_VP_015,0.9999295158515608,0.9939897435897437
MYOLEG_VP_010,MYOLEG_VP_017,0.9999495699188992,0.9950358974358976
MYOLEG_VP_010,MYOLEG_VP_018,0.9999608749078398,0.9957538461538462
MYOLEG_VP_010,MYOLEG_VP_019,0.9999826001474564,0.9977025641025643
MYOLEG_VP_010,MYOLEG_VP_021,0.9999722782010323,0.9966871794871796
MYOLEG_VP_010,MYOLEG_VP_022,0.9999219955763087,0.9935692307692309
MYOLEG_VP_010,MYOLEG_VP_023,0.9999194888178914,0.993374358974359
MYOLEG_VP_010,MYOLEG_VP_025,0.9997682968788402,0.9881948717948719
MYOLEG_VP_010,MYOLEG_VP_026,0.9997079380683216,0.9866358974358975
MYOLEG_VP_010,MYOLEG_VP_027,0.9999739002211846,0.9968410256410258
MYOLEG_VP_010,MYOLEG_VP_029,0.9999871221430326,0.9982153846153847
MYOLEG_VP_010,MYOLEG_VP_030,0.9998102727942986,0.9893743589743591
MYOLEG_VP_010,MYOLEG_VP_031,0.9999729171786681,0.9967487179487181
MYOLEG_VP_011,MYOLEG_VP_013,0.9999942000491522,0.9990871794871796
MYOLEG_VP_011,MYOLEG_VP_014,0.9999732120914231,0.9968512820512823
MYOLEG_VP_011,MYOLEG_VP_015,0.9999193905136399,0.9935589743589746
MYOLEG_VP_011,MYOLEG_VP_017,0.9999413123617598,0.9946051282051283
MYOLEG_VP_011,MYOLEG_VP_018,0.9999536003932171,0.9953230769230771
MYOLEG_VP_011,MYOLEG_VP_019,0.999977537478496,0.997271794871795
MYOLEG_VP_011,MYOLEG_VP_021,0.9999771934136151,0.9971179487179489
MYOLEG_VP_011,MYOLEG_VP_022,0.9999115261735071,0.9931384615384616
MYOLEG_VP_011,MYOLEG_VP_023,0.9999091668714674,0.9929435897435899
MYOLEG_VP_011,MYOLEG_VP_025,0.9997498156795283,0.9877641025641026
MYOLEG_VP_011,MYOLEG_VP_026,0.9996869501105924,0.9862051282051284
MYOLEG_VP_011,MYOLEG_VP_027,0.9999788154337677,0.997271794871795
MYOLEG_VP_011,MYOLEG_VP_029,0.9999826492995822,0.9977846153846155
MYOLEG_VP_011,MYOLEG_VP_030,0.9997934136151391,0.9889435897435898
MYOLEG_VP_011,MYOLEG_VP_031,0.9999670680756944,0.9963179487179488
MYOLEG_VP_013,MYOLEG_VP_014,0.9999827967559599,0.997723076923077
MYOLEG_VP_013,MYOLEG_VP_015,0.9999380683214549,0.9944307692307693
MYOLEG_VP_013,MYOLEG_VP_017,0.9999562054558861,0.9954769230769231
MYOLEG_VP_013,MYOLEG_VP_018,0.9999662324895552,0.996194871794872
MYOLEG_VP_013,MYOLEG_VP_019,0.9999867289260261,0.9981435897435899
MYOLEG_VP_013,MYOLEG_VP_021,0.9999670189235684,0.996246153846154
MYOLEG_VP_013,MYOLEG_VP_022,0.999930892111084,0.9940102564102565
MYOLEG_VP_013,MYOLEG_VP_023,0.99992858196117,0.9938153846153848
MYOLEG_VP_013,MYOLEG_VP_025,0.9997835831899731,0.9886358974358976
MYOLEG_VP_013,MYOLEG_VP_026,0.9997250921602361,0.9870769230769232
MYOLEG_VP_013,MYOLEG_VP_027,0.9999687392479725,0.9964000000000001
MYOLEG_VP_013,MYOLEG_VP_029,0.9999908085524699,0.9986564102564104
MYOLEG_VP_013,MYOLEG_VP_030,0.9998243794544115,0.9898153846153848
MYOLEG_VP_013,MYOLEG_VP_031,0.9999778815433769,0.9971897435897437
MYOLEG_VP_014,MYOLEG_VP_015,0.9999724256574098,0.9967076923076924
