recipient_subject_id,donor_MYOLEG_VP_001,donor_MYOLEG_VP_002,donor_MYOLEG_VP_003,donor_MYOLEG_VP_005,donor_MYOLEG_VP_006,donor_MYOLEG_VP_007,donor_MYOLEG_VP_009,donor_MYOLEG_VP_010,donor_MYOLEG_VP_011,donor_MYOLEG_VP_013,donor_MYOLEG_VP_014,donor_MYOLEG_VP_015,donor_MYOLEG_VP_017,donor_MYOLEG_VP_018,donor_MYOLEG_VP_019,donor_MYOLEG_VP_021,donor_MYOLEG_VP_022,donor_MYOLEG_VP_023,donor_MYOLEG_VP_025,donor_MYOLEG_VP_026,donor_MYOLEG_VP_027,donor_MYOLEG_VP_029,donor_MYOLEG_VP_030,donor_MYOLEG_VP_031
MYOLEG_VP_014,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772,0.9946031106732772
MYOLEG_VP_015,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852,0.9943383894430852
MYOLEG_VP_017,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649,0.9944706740648649
MYOLEG_VP_018,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682,0.9944255229229682
MYOLEG_VP_019,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028,0.9946264015903028
MYOLEG_VP_021,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704,0.9948577359760704
MYOLEG_VP_022,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311
MYOLEG_VP_023,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645,0.9944385056818645
MYOLEG_VP_025,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785
MYOLEG_VP_026,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038,0.9941767361021038
MYOLEG_VP_027,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654,0.9948252229112654
