rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.6981317007977318,0.3141592653589794,58.0,40.0,0.22256609097794605,0.35618020038569886,0.507883045866492,0.4488852986981831,True,False,0.08099123882050394,6.633226966339979,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.7155849933176751,0.2967059728390361,58.0,41.0,0.22256609097794605,0.35618020038569886,0.5094575177668567,0.4438917118025199,True,False,0.08266343765280389,6.457332845289127,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.7330382858376184,0.2792526803190928,58.0,42.0,0.22256609097794605,0.35618020038569886,0.5109445997594417,0.43887140713079864,True,False,0.08431045640121615,6.289462603252389,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.7504915783575618,0.26179938779914946,58.0,43.0,0.22256609097794605,0.35618020038569886,0.5123438388646666,0.4338259139164551,True,False,0.08593179336787482,6.129055556330857,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.767944870877505,0.24434609527920625,58.0,44.0,0.22256609097794605,0.35618020038569886,0.513654808860745,0.42875676906559923,True,False,0.08752695467783365,5.9756019685125255,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.7853981633974483,0.22689280275926293,58.0,45.0,0.22256609097794605,0.35618020038569886,0.5148771104135166,0.4236655166888584,True,False,0.08909545442950496,5.828637390598434,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.8028514559173916,0.20943951023931962,58.0,46.0,0.22256609097794605,0.35618020038569886,0.5160103711980877,0.4185537076310267,True,False,0.09063681484267003,5.687737737524106,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.8203047484373349,0.1919862177193763,58.0,47.0,0.22256609097794605,0.35618020038569886,0.5170542460122453,0.4134228989986623,True,False,0.09215056640401546,5.552514994102395,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.8377580409572782,0.17453292519943298,58.0,48.0,0.22256609097794605,0.35618020038569886,0.5180084168816084,0.408274653685778,True,False,0.09363624801015168,5.422613457542883,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.8552113334772214,0.15707963267948977,58.0,49.0,0.22256609097794605,0.35618020038569886,0.5188725931564873,0.4031105398977681,True,False,0.09509340710806923,5.297706440065437,False,True
